interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
1,0,0,0,0,0,0,0,2,0,2,2,0
2,0,0,0,0,0,0,0,3,0,1,3,0
3,0,0,0,0,0,0,0,3,0,0,3,0
4,1,0,0,1,0,0,0,4,0,1,4,0
5,0,0,0,0,0,0,0,5,0,1,5,0
6,0,0,0,0,0,0,0,8,0,3,8,0
7,0,0,0,0,0,0,0,8,0,0,8,0
8,0,0,0,0,0,0,0,13,0,5,13,0
9,0,0,0,0,0,0,0,15,0,2,15,0
10,0,0,0,0,0,0,0,15,0,0,15,0
11,1,0,1,0,0,0,0,16,2,6,18,0
12,1,0,1,0,0,0,0,16,2,0,18,0
13,0,0,0,0,0,0,1,16,2,0,16,0
14,0,0,0,0,0,0,0,18,3,3,19,0
15,0,0,0,0,0,0,0,18,3,0,19,0
16,1,0,0,1,0,0,0,18,3,0,18,0
17,0,0,0,0,0,0,0,18,3,0,18,0
18,0,0,0,0,0,0,0,20,3,2,20,0
19,0,0,0,0,0,0,0,20,3,0,20,0
20,1,0,1,0,0,0,0,20,0,0,20,0
21,1,0,1,0,0,0,0,20,0,0,20,0
22,0,0,0,0,0,0,0,19,1,0,19,0
23,1,1,0,0,0,0,0,19,1,0,19,0
24,1,0,0,1,0,0,0,18,2,0,19,0
25,0,0,0,0,0,0,0,17,3,0,17,0
26,0,0,0,0,0,0,0,16,4,0,16,0
27,0,0,0,0,0,0,0,17,4,1,17,0
28,0,0,0,0,0,0,0,22,5,6,23,0
29,0,0,0,0,0,0,0,24,5,2,24,0
30,1,0,0,1,0,0,0,34,9,14,34,0
31,1,0,1,0,0,0,0,34,9,0,34,0
32,0,0,0,0,0,0,0,41,13,11,41,0
33,1,1,0,0,0,0,0,42,13,1,42,0
34,0,0,0,0,0,0,0,42,13,0,42,0
35,0,0,0,0,0,0,0,42,13,0,42,0
36,0,0,0,0,0,0,0,50,15,18,50,0
37,0,0,0,0,0,0,0,51,16,8,52,0
38,0,0,0,0,0,0,0,53,18,4,54,0
39,0,0,0,0,0,0,0,53,18,0,53,0
40,1,0,0,0,0,1,0,58,0,7,58,0
41,0,0,0,0,0,0,0,58,0,0,58,0
42,0,0,0,0,0,0,0,59,0,1,59,0
43,0,0,0,0,0,0,0,64,3,9,64,0
44,0,0,0,0,0,0,0,90,11,34,90,0
45,0,0,0,0,0,0,0,96,11,19,96,0
46,1,0,1,0,0,0,0,101,11,5,101,0
47,1,0,1,0,0,0,0,104,11,7,104,0
48,0,0,0,0,0,0,0,107,11,7,107,0
49,0,0,0,0,0,0,0,119,13,14,119,0
50,1,0,1,0,0,0,0,118,21,7,118,0
51,1,0,0,1,0,0,0,118,25,4,118,0
52,1,0,0,1,0,0,0,120,31,8,120,0
53,1,0,1,0,0,0,0,118,33,0,118,0
54,0,0,0,0,0,0,0,120,33,2,120,0
55,0,0,0,0,0,0,1,128,42,17,128,0
56,1,0,0,1,0,0,0,139,51,39,139,0
57,1,0,0,1,0,0,0,191,76,77,191,0
58,0,0,0,0,0,0,1,189,78,0,189,0
59,1,1,0,0,0,0,0,205,100,38,205,0
60,14,0,0,1,11,2,0,212,0,12,212,0
61,1,0,0,1,0,0,1,220,3,11,220,0
62,1,0,1,0,0,0,0,225,16,18,226,0
63,1,1,0,0,0,0,0,224,17,0,224,0
64,1,0,0,1,0,0,0,228,24,11,228,0
65,2,1,0,1,0,0,0,293,81,122,293,0
66,1,0,1,0,0,0,0,297,98,21,297,0
67,1,0,1,0,0,0,0,328,121,54,328,0
68,1,0,1,0,0,0,0,333,124,8,334,0
69,1,0,0,1,0,0,1,333,124,0,333,0
70,1,0,1,0,0,0,0,332,127,2,335,0
71,1,0,0,1,0,0,1,332,127,0,332,0
72,1,0,1,0,0,0,1,332,129,2,332,0
73,1,0,1,0,0,0,0,333,135,7,333,0
74,1,0,1,0,0,0,0,333,135,0,333,0
75,1,0,1,0,0,0,0,329,139,0,333,0
76,1,0,1,0,0,0,0,322,146,0,329,0
77,2,0,1,1,0,0,0,322,146,0,322,0
78,1,0,1,0,0,0,0,322,146,0,322,0
79,2,1,0,1,0,0,0,322,148,2,322,0
80,30,0,1,0,26,3,0,323,0,1,323,0
81,1,0,1,0,0,0,0,321,2,0,321,0
82,1,0,1,0,0,0,0,324,2,3,319,0
83,1,0,1,0,0,0,0,314,12,0,314,0
84,1,0,0,1,0,0,0,312,14,0,312,0
85,1,0,1,0,0,0,0,312,15,1,312,0
86,1,0,1,0,0,0,0,311,17,1,311,0
87,1,0,1,0,0,0,0,310,18,0,310,0
88,1,0,1,0,0,0,1,305,24,1,308,0
89,1,0,1,0,0,0,0,306,24,1,306,0
90,1,0,1,0,0,0,0,308,24,2,308,0
91,1,0,0,1,0,0,1,308,24,0,308,0
92,1,0,1,0,0,0,0,308,24,0,306,0
93,2,0,1,1,0,0,0,306,27,1,306,0
94,1,0,0,1,0,0,1,304,29,0,304,0
95,1,0,1,0,0,0,0,304,29,0,304,0
96,1,0,1,0,0,0,0,304,29,0,304,0
97,1,0,1,0,0,0,0,304,29,0,304,0
98,1,0,1,0,0,0,0,302,31,0,302,0
99,2,1,0,1,0,0,0,302,31,0,302,0
100,49,0,1,0,45,3,0,301,0,0,302,0
101,1,0,1,0,0,0,0,301,0,0,301,0
102,2,1,0,1,0,0,0,300,1,0,301,0
103,1,0,1,0,0,0,0,301,1,2,301,0
104,1,0,1,0,0,0,0,301,1,0,301,0
105,2,0,1,1,0,0,1,300,2,0,301,0
106,1,0,1,0,0,0,0,297,5,0,300,0
107,1,0,1,0,0,0,0,299,5,2,299,0
108,1,0,1,0,0,0,0,298,6,0,298,0
109,1,0,1,0,0,0,0,297,7,0,297,0
110,1,0,1,0,0,0,0,295,9,0,295,0
111,1,0,1,0,0,0,0,295,9,0,295,0
112,1,0,1,0,0,0,0,296,9,1,296,0
113,1,0,1,0,0,0,0,295,10,0,295,0
114,1,0,1,0,0,0,0,297,10,2,297,0
115,1,0,1,0,0,0,0,297,10,0,297,0
116,1,0,1,0,0,0,0,297,10,0,297,0
117,2,0,1,1,0,0,0,297,10,0,297,0
118,1,0,0,1,0,0,1,297,10,0,297,0
119,1,0,0,1,0,0,1,297,10,0,297,0
120,9,1,0,1,4,3,0,298,0,1,298,0
121,1,0,1,0,0,0,0,298,0,0,298,0
122,1,0,1,0,0,0,0,298,0,0,298,0
123,1,0,1,0,0,0,0,297,1,0,297,0
124,1,0,1,0,0,0,0,299,1,2,299,0
125,1,0,0,1,0,0,0,299,1,0,299,0
126,1,0,1,0,0,0,0,299,1,0,299,0
127,1,0,1,0,0,0,0,300,1,1,300,0
128,1,0,1,0,0,0,1,301,1,1,301,0
