interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
1,0,0,0,0,0,0,0,6,0,9,6,0
2,0,0,0,0,0,0,0,20,2,20,22,0
3,0,0,0,0,0,0,0,38,2,19,37,0
4,1,0,1,0,0,0,0,46,4,10,43,0
5,1,0,0,1,0,0,0,50,4,4,47,0
6,1,0,1,0,0,0,0,50,4,0,47,0
7,1,0,0,1,0,0,0,56,4,6,53,0
8,0,0,0,0,0,0,0,59,7,6,57,0
9,1,1,0,0,0,0,0,61,7,3,59,0
10,0,0,0,0,0,0,0,61,7,0,58,0
11,0,0,0,0,0,0,0,67,8,7,65,0
12,1,0,1,0,0,0,0,70,12,7,69,0
13,0,0,0,0,0,0,0,76,14,10,76,0
14,0,0,0,0,0,0,0,80,16,9,81,0
15,1,0,1,0,0,0,0,87,17,8,87,0
16,1,0,1,0,0,0,0,89,21,6,87,0
17,1,1,0,0,0,0,0,95,23,15,94,0
18,0,0,0,0,0,0,0,100,24,7,100,0
19,1,0,1,0,0,0,0,110,24,10,108,0
20,3,0,1,0,0,2,0,116,3,9,114,0
21,0,0,0,0,0,0,0,117,4,2,116,0
22,0,0,0,0,0,0,0,117,4,0,115,0
23,1,0,0,1,0,0,0,123,4,6,120,0
24,0,0,0,0,0,0,0,125,6,5,122,0
25,1,0,0,1,0,0,0,125,6,0,122,0
26,0,0,0,0,0,0,0,125,6,0,122,0
27,1,0,0,1,0,0,0,132,7,8,130,0
28,0,0,0,0,0,0,1,137,10,8,136,0
29,0,0,0,0,0,0,0,141,10,4,139,0
30,0,0,0,0,0,0,0,141,35,25,163,0
31,0,0,0,0,0,0,1,141,35,0,163,0
32,1,0,1,0,0,0,0,143,38,5,140,0
33,1,0,0,1,0,0,0,149,38,6,146,0
34,1,1,0,0,0,0,0,151,38,2,148,0
35,1,0,0,1,0,0,0,153,40,5,152,0
36,0,0,0,0,0,0,0,155,42,4,154,0
37,1,0,1,0,0,0,0,155,42,0,152,0
38,1,1,0,0,0,0,0,156,43,2,154,0
39,0,0,0,0,0,0,1,160,43,4,158,0
40,2,0,0,0,1,1,0,163,3,6,161,0
41,0,0,0,0,0,0,0,163,3,0,161,0
42,1,1,0,0,0,0,0,164,4,2,162,0
43,0,0,0,0,0,0,1,164,4,0,162,0
