interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
1,0,0,0,0,0,0,0,1,0,1,1,0
2,0,0,0,0,0,0,0,1,0,0,1,0
3,0,0,0,0,0,0,0,3,0,2,3,0
4,0,0,0,0,0,0,0,4,0,1,4,0
5,0,0,0,0,0,0,0,4,0,0,4,0
6,1,0,0,0,0,0,0,4,0,0,4,0
7,0,0,0,0,0,0,0,4,0,0,4,0
8,1,0,0,1,0,0,0,6,0,2,6,0
9,0,0,0,0,0,0,0,9,0,3,9,0
10,0,0,0,0,0,0,0,11,0,2,11,0
11,0,0,0,0,0,0,0,11,0,0,11,0
12,0,0,0,0,0,0,0,11,0,0,11,0
13,0,0,0,0,0,0,0,11,0,0,11,0
14,0,0,0,0,0,0,0,12,0,1,12,0
15,1,0,1,0,0,0,0,14,2,9,16,0
16,0,0,0,0,0,0,0,14,2,0,16,0
17,1,0,1,0,0,0,0,14,2,0,16,0
18,0,0,0,0,0,0,0,14,2,0,16,0
19,0,0,0,0,0,0,0,14,2,0,14,0
20,0,0,0,0,0,0,0,16,3,3,17,0
21,0,0,0,0,0,0,0,16,3,0,17,0
22,0,0,0,0,0,0,0,16,3,0,17,0
23,0,0,0,0,0,0,0,16,3,0,17,0
24,0,0,0,0,0,0,0,16,3,0,16,0
25,0,0,0,0,0,0,0,16,3,0,16,0
26,0,0,0,0,0,0,0,16,3,0,16,0
27,1,0,1,0,0,0,0,16,3,0,16,0
28,0,0,0,0,0,0,0,18,3,2,18,0
29,1,0,1,0,0,0,0,18,3,0,18,0
30,0,0,0,0,0,0,0,18,3,0,18,0
31,0,0,0,0,0,0,0,18,3,0,18,0
32,1,0,1,0,0,0,0,18,3,0,18,0
33,0,0,0,0,0,0,0,18,3,0,18,0
34,0,0,0,0,0,0,0,18,3,0,18,0
35,1,0,1,0,0,0,0,18,3,0,18,0
36,1,1,0,0,0,0,0,18,3,0,18,0
37,0,0,0,0,0,0,0,18,3,0,18,0
38,0,0,0,0,0,0,0,18,3,0,18,0
39,0,0,0,0,0,0,0,18,3,0,18,0
40,0,0,0,0,0,0,0,18,0,0,18,0
41,0,0,0,0,0,0,0,17,1,0,18,0
42,0,0,0,0,0,0,1,17,1,0,17,0
