interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
1,0,0,0,0,0,0,0,4,0,4,4,0
2,0,0,0,0,0,0,0,6,0,2,6,0
3,0,0,0,0,0,0,0,11,0,5,11,0
4,0,0,0,0,0,0,0,14,2,10,16,0
5,1,1,0,0,0,0,0,16,3,3,17,0
6,0,0,0,0,0,0,0,16,3,0,16,0
7,0,0,0,0,0,0,0,16,3,0,16,0
8,0,0,0,0,0,0,0,18,3,2,18,0
9,0,0,0,0,0,0,0,18,3,0,18,0
10,1,0,0,0,0,0,0,18,0,0,18,0
11,0,0,0,0,0,0,0,16,2,0,17,0
12,0,0,0,0,0,0,0,23,2,7,23,0
13,1,0,1,0,0,0,0,30,7,12,30,0
14,0,0,0,0,0,0,0,36,9,8,36,0
15,1,0,0,1,0,0,0,42,11,8,42,0
16,1,0,0,1,0,0,0,48,13,10,48,0
17,0,0,0,0,0,0,1,53,16,20,54,0
18,0,0,0,0,0,0,0,54,16,1,54,0
19,0,0,0,0,0,0,0,58,18,6,58,0
20,1,0,0,0,0,1,0,77,0,29,77,0
21,1,0,1,0,0,0,0,100,2,38,100,0
22,1,0,1,0,0,0,0,105,2,9,105,0
23,1,1,0,0,0,0,0,121,8,26,121,0
24,1,1,0,0,0,0,0,118,16,5,116,0
25,1,1,0,0,0,0,0,118,24,8,118,0
26,1,0,1,0,0,0,0,130,34,22,130,0
27,1,1,0,0,0,0,0,190,68,110,191,0
28,1,0,0,1,0,0,1,206,92,40,206,0
29,1,0,1,0,0,0,0,220,103,25,220,0
30,16,0,1,0,13,2,0,224,0,14,224,0
31,1,0,1,0,0,0,1,294,64,134,294,0
32,2,1,0,1,0,0,0,331,105,78,331,0
33,1,0,1,0,0,0,0,333,107,4,333,0
34,1,0,1,0,0,0,0,332,110,2,332,0
35,1,0,1,0,0,0,0,333,118,9,333,0
36,1,0,1,0,0,0,0,329,122,0,333,0
37,2,0,1,1,0,0,0,322,129,0,322,0
38,1,0,1,0,0,0,0,322,131,2,322,0
39,1,0,1,0,0,0,0,321,133,1,321,0
40,51,0,1,0,47,3,0,314,0,3,314,0
41,1,0,1,0,0,0,0,312,3,1,312,0
42,1,0,1,0,0,0,0,309,7,1,310,0
43,2,1,1,0,0,0,0,306,12,2,306,0
44,1,0,1,0,0,0,0,308,12,2,308,0
45,1,0,1,0,0,0,0,306,15,1,306,0
46,1,0,1,0,0,0,0,304,17,0,304,0
47,1,0,1,0,0,0,0,304,17,0,304,0
48,1,0,1,0,0,0,0,302,19,0,302,0
49,1,0,1,0,0,0,0,301,20,0,301,0
50,27,0,1,0,24,2,0,301,0,2,301,0
51,2,0,1,1,0,0,0,300,1,0,301,0
52,1,0,1,0,0,0,0,299,4,2,299,0
53,1,0,1,0,0,0,0,297,6,0,297,0
54,2,0,1,1,0,0,0,295,8,0,295,0
55,1,0,1,0,0,0,0,295,9,1,295,0
56,1,0,1,0,0,0,0,297,9,2,297,0
57,1,0,1,0,0,0,0,297,9,0,297,0
58,1,0,1,0,0,0,0,297,9,0,297,0
59,2,1,1,0,0,0,0,298,9,1,298,0
60,8,0,1,0,5,2,1,297,0,0,297,0
61,1,0,1,0,0,0,0,299,0,2,299,0
62,1,0,1,0,0,0,0,300,0,1,300,0
63,1,0,1,0,0,0,0,301,0,1,301,0
64,1,0,1,0,0,0,0,302,0,1,302,0
65,1,0,1,0,0,0,0,302,1,1,302,0
66,1,0,1,0,0,0,0,301,3,1,301,0
67,1,0,1,0,0,0,0,301,3,0,301,0
68,1,0,1,0,0,0,0,301,3,0,301,0
69,1,0,1,0,0,0,0,301,4,1,301,0
70,3,0,0,1,0,2,0,301,0,0,301,0
71,1,0,1,0,0,0,0,299,2,0,299,0
72,1,0,1,0,0,0,0,297,5,1,300,0
73,2,1,0,1,0,0,0,297,6,1,297,0
74,1,0,1,0,0,0,0,296,7,0,296,0
75,1,0,1,0,0,0,0,296,8,1,296,0
76,1,0,1,0,0,0,0,296,9,1,296,0
77,1,1,0,0,0,0,0,296,9,0,296,0
78,1,0,1,0,0,0,0,298,9,2,298,0
79,1,0,1,0,0,0,0,299,9,1,299,0
80,20,1,1,0,15,3,0,296,4,5,304,0
81,2,1,0,1,0,0,0,289,13,4,289,0
82,1,0,1,0,0,0,0,288,15,1,288,0
83,1,0,1,0,0,0,0,276,30,3,278,0
84,1,0,1,0,0,0,0,277,30,1,277,0
85,1,0,0,1,0,0,0,277,31,1,277,0
86,1,0,1,0,0,0,0,279,34,8,279,0
87,1,0,0,1,0,0,0,279,34,0,279,0
88,2,0,1,1,0,0,0,278,37,2,281,0
89,2,0,1,1,0,0,0,273,42,0,275,0
90,15,0,0,1,12,2,0,271,8,0,271,0
91,2,0,1,1,0,0,0,273,15,9,275,0
92,2,1,0,1,0,0,0,269,19,0,272,0
93,2,0,1,1,0,0,0,251,38,1,253,0
94,1,0,1,0,0,0,1,252,40,7,253,0
95,1,0,0,1,0,0,0,254,44,10,256,0
96,1,0,1,0,0,0,0,251,47,0,251,0
97,1,0,0,1,0,0,0,250,50,2,252,0
98,1,0,1,0,0,0,0,239,63,2,241,0
99,1,0,0,1,0,0,0,239,64,1,240,0
100,41,1,0,1,36,3,0,237,17,1,238,0
101,2,0,1,1,0,0,0,236,18,0,234,0
