interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
1,1,1,0,0,0,0,0,6,0,6,6,0
2,0,0,0,0,0,0,0,27,4,31,28,0
3,0,0,0,0,0,0,0,53,8,45,56,0
4,0,0,0,0,0,0,1,64,10,13,63,0
5,0,0,0,0,0,0,1,70,10,6,69,0
6,0,0,0,0,0,0,0,75,13,9,75,0
7,0,0,0,0,0,0,0,81,14,7,81,0
8,0,0,0,0,0,0,0,90,20,15,92,0
9,0,0,0,0,0,0,0,101,23,16,103,0
10,2,0,1,0,0,0,0,110,6,14,110,0
11,0,0,0,0,0,0,0,125,7,17,125,0
12,0,0,0,0,0,0,0,132,11,11,133,0
13,1,0,1,0,0,0,0,138,11,6,137,0
14,0,0,0,0,0,0,1,140,13,4,139,0
15,1,0,1,0,0,0,0,147,14,8,147,0
16,1,0,1,0,0,0,1,156,17,14,156,0
17,0,0,0,0,0,0,0,156,39,22,177,0
18,2,1,0,1,0,0,0,164,42,12,163,0
19,1,0,0,1,0,0,0,168,44,7,169,0
20,2,0,1,0,0,1,0,170,6,5,169,0
21,1,0,1,0,0,0,0,175,7,6,175,0
22,1,0,1,0,0,0,0,178,10,6,178,0
23,1,0,1,0,0,0,0,179,11,2,179,0
24,1,0,0,1,0,0,0,181,13,4,179,0
25,1,0,1,0,0,0,1,183,13,2,181,0
26,1,1,0,0,0,0,0,190,16,10,189,0
27,1,0,0,1,0,0,0,192,16,2,190,0
28,1,0,1,0,0,0,0,194,19,5,192,0
29,1,1,0,0,0,0,0,195,20,2,194,0
30,2,0,0,1,0,1,0,198,6,7,197,0
31,1,0,1,0,0,0,0,198,6,0,196,0
32,1,0,1,0,0,0,0,204,8,8,202,0
33,1,1,0,0,0,0,0,206,8,2,204,0
34,1,0,1,0,0,0,0,208,10,4,206,0
35,0,0,0,0,0,0,0,208,10,0,206,0
36,1,0,1,0,0,0,0,210,12,5,208,0
37,1,0,0,1,0,0,0,214,12,4,212,0
